[Mastercad Black]|Opening Balance|undefined
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR SPV 250
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|IDOMESTICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STA ETIENNE
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|LOTUS SPA
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F313
D. Viagens:Compras|Amazon|AMAZON.COM.BR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DIVINO FOGAO COMIDA TI
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 306
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|AUTO BRASIL ESTACIONAM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VILLA COLMEIA PAES E C
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA ALBERT EINSTEIN.
[Residencia Lorian]|Poloar|POLOAR 01/03
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO PROVIDENCIA II
F. Automóveis:Combustível-Lavagem-Óleo|Outros|FELIPE WASH CAR LTDA M
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao do Parque|PAO DO PARQUE
[Residencia Lorian]|Outros|GME COMERCIO VAREJ
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST FUJIYAMA
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao do Parque|PAO DO PARQUE II
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO S A
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MILANO COMERCIO VAREJI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ROCK E RIBS COMERCIO
[Residencia Lorian]|Telhanorte|TELHANORTE OSASCO
B. Outras Receitas:Ajustes|Outros|BRABUS
F. Automóveis:Manutenção-Revisão Auto|Outros|BRABUS 02/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCHONETE VINEX
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Zeka Cabelereiro|ZEKA CABELEREIRO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FIRENZE
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDO01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LE LIS VILA LOBOS 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MEIAO MEIAS COMERCIAL
B. Outras Receitas:Ajustes|Outros|INOVAR COM DE MET E FE
[Residencia Lorian]|Inovar Ferragens|INOVAR COM DE MET 02/03 puxador porta principal
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SP MATE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO02/05
[Residencia Lorian]|Outros|DEPOSITO NOROESTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE HIRO
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F106
B. Outras Receitas:Ajustes|Leroy Merlin|LEROY MERLIN
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 02/03
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|EC*GODADDYCOM
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|HERING VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|C E A 275
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BAKED POTATO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BURGER KING SHOPPING V
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PERCUSSI ROSSERI
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 170 02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|PANDA
B. Outras Receitas:Ajustes|Outros|AUTHENTIC FEET-V.LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|AUTHENTIC FEET-V.L02/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|RAIA DROGASIL 547 CENT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CACAU SHOW
F. Automóveis:Registros-Transferencias-Inspecao|Outros|PLENA VISAO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE S
[Residencia Lorian]|Outros|REGINA EPP
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|CENTRO DE COMBUSTIVEIS
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|LASTPASS.COM USD 12
[Residencia Lorian]|Outros|COM MAT P CONST PEL
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|FRUTARIA SAO FRANCIS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|LOJAS AMERICANAS 388
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VITOR CESAR PEREIRA -
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 0.77
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASA ESFIHA
B. Outras Receitas:Ajustes|Outros|POLOAR
[Residencia Lorian]|Poloar|POLOAR 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KAISHI S C JAP LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IMPERIO MINEIRO
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 03/10
[Residencia Lorian]|Tintas Famosas|TINTAS FAMOSAS 01/03
[Residencia Lorian]|C&C|C&C OSASCO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|INTIMISSIMI 03/04
B. Outras Receitas:Ajustes|Mastercad Black|DB DIFERENCA COTACAO U$
F. Automóveis:Manutenção-Revisão Auto|Outros|BRABUS 03/04
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDO02/02
E1. Extraordinárias (Ongoing):Presentes|Outros|LE LIS VILA LOBOS 02/03
[Residencia Lorian]|Inovar Ferragens|INOVAR COM DE MET 03/03 puxador
E1. Extraordinárias (Ongoing):Presentes|Zara|ZARA-SH.VILLA LOBO03/05
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 03/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 170 03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|AUTHENTIC FEET-V.L03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TF D E D
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|AUTO VAGAS WTC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NICO COOK COMERCIO DE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA EXPRESS D E
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDO01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PEIXARIA BAR E VENDA
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN RAPOS01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ESPACO VILLA GOURMET
[Residencia Lorian]|Telhanorte|TELHANORTE OSASCO 01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GME COMERCIO VAREJ
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Mambo Supermercado|ECOMMERCE MAMBO TATUAP
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|ADIDAS DO BRASIL G01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|NIKE CATARINA 01/02
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|G & G AUTO POSTO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|INBRANDS CATARINA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK BZ 60 CATARINA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|OUTLET SP CATARINA01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|FOREVER21 CATARINA01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|NIKE CATARINA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|PRISCILA SEIN - EPP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PRIME BURGUER
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|SARAIVA ITAIM 55
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|IG Lavanderia|5 A SEC
[Residencia Lorian]|Poloar|POLOAR 03/03
[Residencia Lorian]|Metalferco|METALFERCO batedores de porta
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MASSA RICCI
[Residencia Lorian]|Outros|COM MATS P/CONST PEL
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|CINEMARK 727-VL.LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0017 - BACIO DI LATT
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 04/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STARBUCKS 013
[Residencia Lorian]|Tintas Famosas|TINTAS FAMOSAS 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LPQBR RESTAURANTE E PA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|INTIMISSIMI 04/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SR MOSTARDA
[Residencia Lorian]|Metalferco|METALFERCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|EL CAMINO FOODS S.A.
[Residencia Lorian]|Mestre Guido|MESTRE GUIDO FERRAGENS numero
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0013 - BACIO DI LATT
E1. Extraordinárias (Ongoing):Presentes|Outros|STAR POINT-VILLA L01/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|PAPEL CRAFT NACOES UNI
E1. Extraordinárias (Ongoing):Presentes|Outros|LIVRARIA CULTURA
[Residencia Lorian]|Casa Agricola|C.MACIEL CASA AGRICOLA  Irrigacao
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALDS AJA
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|BIFARMA
E1. Extraordinárias (Ongoing):Presentes|Outros|LE LIS VILA LOBOS 01/03
B. Outras Receitas:Ajustes|Outros|CR DIFERENCA COTACAO U$
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|A CASA DO PORCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NOVA VILA COLMEIA
B. Outras Receitas:Ajustes|Ri Happy|RI HAPPY BRINQUEDOS
B. Outras Receitas:Ajustes|Outros|LE LIS VILA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAZZI PER PIZZA
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|FRUTARIA SAO FRANCISCO
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MERCADO ACV
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REI DO PICADINHO
[Residencia Lorian]|Outros|CASA PEDROSO MATERIAIS
[Residencia Lorian]|Outros|DEPOSITO LIMA
F. Automóveis:Combustível-Lavagem-Óleo|Outros|LAVA RAPIDO SPLASH II
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MUNDO VERDE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Vila Romana|VILA ROMANA MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ABBRACCIO MARKET PLACE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Outros|CALCADOS PAMPILI 01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|Lojas|LOJAS RENNER FL 4301/03
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 062
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PAD PIZZ GRAN VIL LT
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CENTER CARNES ECONOMIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK BZ73 GRANJA VI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MR CHENEY
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|PAGSEGUROUOL*PokemonSt
[Residencia Lorian]|Outros|LOJA 2766
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NUTRIBEM
[Residencia Lorian]|Outros|CALHAS PAINEIRAS
[Residencia Lorian]|Conibase|CONIBASE 1
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO 241
[Residencia Lorian]|Copeli Matl Eletrico|COPELI - matl eletrico
[Residencia Lorian]|Bettoni|COLCHOARIA BETTONI01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA NOVE DE JULHO
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Cinemark|CINEMARK - TAMBORE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MERCADO ACV
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PALADARSHOW
B2. Educação (Mensal):Livros-Material Escolar|Outros|MIKEI PAPEL E BAZAR
B2. Educação (Mensal):Livros-Material Escolar|Outros|COM MAT P CONST PEL
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDO02/03
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN RAPOS02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HTRES SAO PAULO LAPA
B2. Educação (Mensal):Livros-Material Escolar|Livraria Cultura|LIVRARIA CULTURA  01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|1087 - GRSA GRSA CLARI
[Residencia Lorian]|Ricardo Eletro|RICARDOELETRO     01/07
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ESFIHAS DOZZA
[Residencia Lorian]|Telhanorte|TELHANORTE OSASCO 02/03
B. Outras Receitas:Ajustes|Telhanorte|TELHANORTE OSASCO
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|A P ROCAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|ADIDAS DO BRASIL G02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|NIKE CATARINA     02/02
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN      01/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|OUTLET SP CATARINA02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|FOREVER21 CATARINA02/03
B. Outras Receitas:Ajustes|Outros|FOREVER21 CATARINA OUT
B. Outras Receitas:Ajustes|Outros|OUTLET SP CATARINA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TABERNA GAUCHA
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CHAVEIRO ROCHA
[Residencia Lorian]|Outros|GARPIANI COM DE FERRAG
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|SOMBRANCELHAS DESI01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|NEW VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TORINO COMERCIO DE ALI
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Clinica Medica Giovana|CLINICA MEDICA GIOVANA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|OUTLET HASSIB     01/05
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP      05/10
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|REDE PAPA
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao do Parque|PAO DO PARQUE-III
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SODIE DOCES   VL LAGEA
[Residencia Lorian]|Tintas Famosas|TINTAS FAMOSAS    03/03
B2. Educação (Mensal):Livros-Material Escolar|Livraria Cultura|LIVRARIA CULTURA  01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|STAR POINT-VILLA L02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CM FORNERIA EIRELI
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|STAR POINT-VILLA L03/03
F. Automóveis:Manutenção-Revisão Auto|Outros|BRABUS           04/04
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LE LIS VILA LOBOS 02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|LE LIS VILA LOBOS 03/03
E1. Extraordinárias (Ongoing):Presentes|Outros|DENY SPORTS-ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE S ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO04/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO05/05
E2. Extraordinárias (One Time):Outras|Outros|DECIMO QUARTO TABELIO
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|EMPORIO DAS PISCIN01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CALCADOS PAMPILI  02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|LOJAS RENNER FL 4302/03
B. Outras Receitas:Ajustes|Outros|LOJAS RENNER FL 43
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MULTICOISAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|K F C
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Lojas|LOJAS RENNER FL 4303/03
[Residencia Lorian]|Fast Shop|FAST SHOP 01/02 TV
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BUR DOG
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MEI CULINARIA ASIATICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK BZ 75 CIDADE S
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GELATO BOUTIQUE
B2. Educação (Mensal):Livros-Material Escolar|Outros|X PEL
[Residencia Lorian]|Casa Pedroso|CASA PEDROSO
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MABRUK COM DE CHOCOLAT
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Mambo Supermercado|MAMBO DELIVERY
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DIVINO FOGAO C T DA FA
E1. Extraordinárias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQUEDO03/03
[Residencia Lorian]|Casa Almeida|CASA ALMEIDA-V.LOB01/08
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO ELDORADO
[Residencia Lorian]|Fast Shop|FAST SHOP TV
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN RAPOS03/03
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|PAGSEGUROUOL*antigos
B2. Educação (Mensal):Livros-Material Escolar|Livraria Cultura|LIVRARIA CULTURA 02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|C E A 275 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBOS
B. Outras Receitas:Ajustes|Ricardo Eletro|RICARDOELETRO
[Residencia Lorian]|Ricardo Eletro|RICARDOELETRO 02/07
[Residencia Lorian]|Telhanorte|TELHANORTE OSASCO 03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CENTER CARNES ECONOMIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RINCONCITO
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|BRILHO PARK
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 02/04
E1. Extraordinárias (Ongoing):Reforma Vilas|Outros|PAPAIZ ASSOC-REBOUCAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|OUTLET SP CATARINA03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|FOREVER21 CATARINA03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE DO PONTO
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|SOMBRANCELHAS DESI02/03
