[Mastercard Personnalite]|Opening Balance|undefined
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRANGO D OURO CHUR
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL SA LJ 058
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE PIAZZA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DAISSUKI FAST FOOD
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DAISSUKI FAST F
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|TADAMASSA YAMAD
B. Outras Receitas:Ajustes|Outros|undefined
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|O BOTICARIO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SANTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRILL HALL P CARNE CHU
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|FRUTARIA COLLINAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|YACHTSMAN 
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|CENTRO MEDICO PEIXOTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRAN S CAFE STATION AC
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR ESPM 1
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RASCAL SH HIGIE
G. Reembolsaveis:Despesas de Trabalho|Outros| - DOMAIN NAME REGISTRATI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Vila Romana|VILA ROMANA SUL N 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|LUPO VILLA LOBOS
A1. Residencia Villas:Moveis|Outros|DE CANTO EM CANTO 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STAR 008
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PARRILLA ARGENTINA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PHOTO CENTER
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DONA DEOLA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RECANTO DA VITORIA
G. Reembolsaveis:Medicos-Clinicas-Exames|Hospital Albert Einstein|HOSP ALBERT EINST 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|EMPORIO BABY KID 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMOR AOS PEDACOS
I. Taxas Bancarias:Encargos-Juros|Mastercard Personnalite| - DEBITO DIF COT DOLAR
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|A P DUQUE VILA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Decathlon|DECATHLON 
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR CINCINATO BRAG
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO MORUMBI
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|IG LAVANDERIAS
E1. Extraordinarias (Ongoing):Presentes|Outros|MAGICAL KIDS STORE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CULT GASTRONOMIA LTD
E1. Extraordinarias (Ongoing):Presentes|Outros|SIBERIAN - ELDORA 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA BIFARMA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA BRASIL LTDA 
E1. Extraordinarias (Ongoing):Presentes|Vila Romana|VILA ROMANA SUL N 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CHICLETARIA VILLA 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CRISTINA COMIN 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WIPE PASTA E GR
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR L
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR ERE 071
E1. Extraordinarias (Ongoing):Presentes|Outros|CE 46 
F. Automoveis:Combustivel-Lavagem-Oleo|Outros|REI DO OLEO 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL SA LJ 05 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL LJ 170 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA BUCA ROMANA OSF
E1. Extraordinarias (Ongoing):Presentes|Outros|CACAU SHOW
E1. Extraordinarias (Ongoing):Presentes|Outros|O BOTICARIO 
E1. Extraordinarias (Ongoing):Presentes|Outros|DUNES VILA LOBOS 
E1. Extraordinarias (Ongoing):Presentes|Outros|FASCAR VILLA LOBO 
E1. Extraordinarias (Ongoing):Presentes|Outros|RICHARDS 
G. Reembolsaveis:Medicos-Clinicas-Exames|Outros|HOSP ALBERT EINST 
E1. Extraordinarias (Ongoing):Presentes|Outros|FASCAR VILLA LOBOS
E1. Extraordinarias (Ongoing):Presentes|Outros|BROOKSFIELD LJ 09 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL SA LJ 
E1. Extraordinarias (Ongoing):Presentes|Outros|SIBERIAN - ELDORAD
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|NEWS & CIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THE FIFTIES FUNCHAL
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO META
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NAKOMBI JARDIM SUL
E1. Extraordinarias (Ongoing):Presentes|Outros|BOMBONIERE MONTSON
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LE CHEF
E1. Extraordinarias (Ongoing):Presentes|Outros|NEWS & CIA
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|BEST DESIGN
E1. Extraordinarias (Ongoing):Presentes|Outros|PBKIDS BRINQUEDOS 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALD S WHI
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|EXTRA CAR AUTO POSTO L
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|LE LIS BLANC MK
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEES MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MIRANTE DO PARAIBA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA PASTA GIALLA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA MORUMBI 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|GIFTS E CARDS PAPELARI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CASA DAS CUECAS 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CROCS BRASIL 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|FARMAX LJ 16 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETO S AL SANTOS 10
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR ERE 071 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA ARENA PARRILLA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BETH COZINHA ESTAR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TORO
F. Automoveis:Manutencao-Revisao Auto|Outros|WEB MOTORS 
B2. Educacao (Mensal):Cursos Eduardo-Carla|Outros|INTERNATIONAL INSTITUT
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|C AUTOMOTIVO ALPHA ZER
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA 223
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|CORELLO|CORELLO 
C1. Lazer-Estetica-Vestuario-Celular:Celular|Claro Loja|CLARO LJ VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|QUALITY FOOD
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK STEAK HOUSE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETO S ELDORADO 11
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SUSHI PAPAIA
G. Reembolsaveis:Despesas de Trabalho|Outros|LEO CONFEITARIA - BOLO CONTAX
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DOCEIRA CRISTALLO PTA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WRAPS CENTER 3
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASA DE SUCOS PADRAO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|CENTER CAR AUTO POSTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAPIM SANTO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO TASCA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA BIFARMA 1
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA VCNA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|NATUSVERDE
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|C A AGUA ESPRAIADA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO PERDIZES
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|2031 - EXTRA FACIL RI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRILL HALL PAULISTA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|COMERCIAL MORRINHO LTD
